Category of Mix,Channel,Title of Video,Link to Video,Author of Video
ASMR Relaxation Mix,Left,2 Hours For Sleep Studying Relaxing ASMR Satisfying Eating Sounds Compilation Mukbang 먹방,https://www.youtube.com/playlist?list=PLtysvtOEQOMz_Zkf2WKcrmJXkRdk2xAAm,Various
ASMR Relaxation Mix,Right,Compilation Of The Best Motivational Speeches | Listen Every Morning,https://www.youtube.com/watch?v=UaPtQ682mBk,Various
Motivational Energy Boost,Left,Powerful Motivational Speeches For Success,https://www.youtube.com/watch?v=uvZhjIRl6D0,Various
Motivational Energy Boost,Right,Admiral McRaven Leaves the Audience SPEECHLESS,https://www.youtube.com/watch?v=TBuIGBCF9jc,Various
Coding and Focus Blend,Left,The Most Popular ASMR Triggers,https://www.youtube.com/watch?v=jGuVJHmo2hQ,Various
Coding and Focus Blend,Right,MINDSET IS EVERYTHING | Powerful Motivational Speeches,https://www.youtube.com/watch?v=v3hpZ4HPIT4,Various
Cozy Ambiance with Inspirational Narration,Left,TOP 50 ASMR The best ASMR of February 2024,https://www.youtube.com/watch?v=NxSab5KZGL8,Various
Cozy Ambiance with Inspirational Narration,Right,Best Motivational Video Speeches Of All Time,https://www.youtube.com/watch?v=S0HJ3h815Zo,Various
Morning Uplift Mix,Left,Top 20 Most Viewed Videos - WhispersRed ASMR,https://www.youtube.com/playlist?list=PLWk4fkmkuf3vlICsIp-8EjB3Yje3XxRqI,WhispersRed ASMR
Morning Uplift Mix,Right,"Focus On Yourself, Not Others | Powerful Motivational Speeches",https://www.youtube.com/watch?v=j9tg4FpcB2I,Various
Evening Wind Down with Encouragement,Left,The Most Popular ASMR Triggers,https://www.youtube.com/watch?v=jGuVJHmo2hQ,Various
Evening Wind Down with Encouragement,Right,CHANGE THE WAY YOU SEE YOURSELF - Eric Thomas,https://www.youtube.com/watch?v=sCV38GynwT4,Eric Thomas
Deep Focus Coding Session,Left,ASMR 20 Triggers to Help You Sleep,https://www.youtube.com/watch?v=Pl1gDg7gTtA,ASMR Darling
Deep Focus Coding Session,Right,Best Inspirational Speeches in YouTube,https://www.youtube.com/playlist?list=PLheWiAonSQDRNXHMGBDOcgaZEYqL44IoA,Various
Calm Study Session with Life Advice,Left,Top ASMR Channels on YouTube in 2025,https://www.favoree.io/top/asmr-youtube-channels,Various
Calm Study Session with Life Advice,Right,Powerful Motivational Speeches For Success,https://www.youtube.com/watch?v=uvZhjIRl6D0,Various
Relaxing Sounds with Career Guidance,Left,Best Unintentional ASMR,https://www.youtube.com/c/BestUnintentionalASMR,Best Unintentional ASMR
Relaxing Sounds with Career Guidance,Right,Compilation Of The Best Motivational Speeches | Listen Every Morning,https://www.youtube.com/watch?v=UaPtQ682mBk,Various
Peaceful Evening with Inspirational Stories,Left,ASMR 20 Triggers to Help You Sleep,https://www.youtube.com/watch?v=Pl1gDg7gTtA,ASMR Darling
Peaceful Evening with Inspirational Stories,Right,Admiral McRaven Leaves the Audience SPEECHLESS,https://www.youtube.com/watch?v=TBuIGBCF9jc,Various
